,Unidade Territorial,Referência,TAC
507,SANTA CATARINA,2016-10-01,64.5
508,RIO GRANDE DO SUL,2016-10-01,64.76
509,MATO GROSSO DO SUL,2016-10-01,67.82
510,MATO GROSSO,2016-10-01,68.85
511,GOIÁS,2016-10-01,69.06
512,DISTRITO FEDERAL,2016-10-01,50.75
513,RONDÔNIA,2016-11-01,63.52
514,ACRE,2016-11-01,76.7
515,AMAZONAS,2016-11-01,72.76
516,RORAIMA,2016-11-01,76.99
517,PARÁ,2016-11-01,72.63
518,AMAPÁ,2016-11-01,74.75
519,TOCANTINS,2016-11-01,76.45
520,MARANHÃO,2016-11-01,73.65
521,PIAUÍ,2016-11-01,73.24
522,CEARÁ,2016-11-01,76.02
523,RIO GRANDE DO NORTE,2016-11-01,72.48
524,PARAÍBA,2016-11-01,76.57
525,PERNAMBUCO,2016-11-01,75.33
526,ALAGOAS,2016-11-01,73.43
527,SERGIPE,2016-11-01,74.63
528,BAHIA,2016-11-01,75.16
529,MINAS GERAIS,2016-11-01,72.02
530,ESPÍRITO SANTO,2016-11-01,65.53
531,RIO DE JANEIRO,2016-11-01,66.2
532,SÃO PAULO,2016-11-01,68.36
533,PARANÁ,2016-11-01,74.35
534,SANTA CATARINA,2016-11-01,64.77
535,RIO GRANDE DO SUL,2016-11-01,64.93
536,MATO GROSSO DO SUL,2016-11-01,68.29
537,MATO GROSSO,2016-11-01,69.03
538,GOIÁS,2016-11-01,69.86
539,DISTRITO FEDERAL,2016-11-01,49.64
540,RONDÔNIA,2016-12-01,69.31
541,ACRE,2016-12-01,79.69
542,AMAZONAS,2016-12-01,75.42
543,RORAIMA,2016-12-01,78.56
544,PARÁ,2016-12-01,76.24
545,AMAPÁ,2016-12-01,76.86
546,TOCANTINS,2016-12-01,81.38
547,MARANHÃO,2016-12-01,78.6
548,PIAUÍ,2016-12-01,77.86
549,CEARÁ,2016-12-01,79.8
550,RIO GRANDE DO NORTE,2016-12-01,77.65
551,PARAÍBA,2016-12-01,81.56
552,PERNAMBUCO,2016-12-01,79.51
553,ALAGOAS,2016-12-01,78.01
554,SERGIPE,2016-12-01,79.16
555,BAHIA,2016-12-01,79.52
556,MINAS GERAIS,2016-12-01,78.17
557,ESPÍRITO SANTO,2016-12-01,70.85
558,RIO DE JANEIRO,2016-12-01,72.43
559,SÃO PAULO,2016-12-01,74.48
560,PARANÁ,2016-12-01,80.12
561,SANTA CATARINA,2016-12-01,70.62
562,RIO GRANDE DO SUL,2016-12-01,71.01
563,MATO GROSSO DO SUL,2016-12-01,74.42
564,MATO GROSSO,2016-12-01,74.85
565,GOIÁS,2016-12-01,75.67
566,DISTRITO FEDERAL,2016-12-01,60.89
567,RONDÔNIA,2017-01-01,65.89
568,ACRE,2017-01-01,78.27
569,AMAZONAS,2017-01-01,74.11
570,RORAIMA,2017-01-01,75.98
571,PARÁ,2017-01-01,74.99
572,AMAPÁ,2017-01-01,75.88
573,TOCANTINS,2017-01-01,77.54
574,MARANHÃO,2017-01-01,76.35
575,PIAUÍ,2017-01-01,75.93
576,CEARÁ,2017-01-01,77.06
577,RIO GRANDE DO NORTE,2017-01-01,75.1
578,PARAÍBA,2017-01-01,79.24
579,PERNAMBUCO,2017-01-01,77.46
580,ALAGOAS,2017-01-01,76.62
581,SERGIPE,2017-01-01,76.85
582,BAHIA,2017-01-01,77.26
583,MINAS GERAIS,2017-01-01,73.99
584,ESPÍRITO SANTO,2017-01-01,67.32
585,RIO DE JANEIRO,2017-01-01,70.02
586,SÃO PAULO,2017-01-01,70.84
587,PARANÁ,2017-01-01,73.51
588,SANTA CATARINA,2017-01-01,65.49
589,RIO GRANDE DO SUL,2017-01-01,67.0
590,MATO GROSSO DO SUL,2017-01-01,68.85
591,MATO GROSSO,2017-01-01,69.85
592,GOIÁS,2017-01-01,71.55
593,DISTRITO FEDERAL,2017-01-01,59.22
594,RONDÔNIA,2017-02-01,65.35
595,ACRE,2017-02-01,77.98
596,AMAZONAS,2017-02-01,73.89
597,RORAIMA,2017-02-01,75.22
598,PARÁ,2017-02-01,74.76
599,AMAPÁ,2017-02-01,76.56
600,TOCANTINS,2017-02-01,76.62
601,MARANHÃO,2017-02-01,76.14
602,PIAUÍ,2017-02-01,75.0
603,CEARÁ,2017-02-01,76.3
604,RIO GRANDE DO NORTE,2017-02-01,74.63
605,PARAÍBA,2017-02-01,78.67
606,PERNAMBUCO,2017-02-01,77.04
607,ALAGOAS,2017-02-01,76.52
608,SERGIPE,2017-02-01,76.46
609,BAHIA,2017-02-01,77.07
